	Start	Marker
384	11410796791	8.0
385	11410995668	4.0
386	11411195273	7.0
387	11411397900	1.0
388	11411595815	12.0
389	11411797955	5.0
390	11411996778	8.0
391	11412197147	2.0
392	11412397007	10.0
393	11412597152	0.0
394	11412797471	6.0
395	11412997531	1.0
396	11413198727	9.0
397	11413399069	10.0
398	11413598851	3.0
399	11413797948	12.0
400	11413998316	2.0
401	11414198409	10.0
402	11414398343	0.0
403	11414598392	8.0
404	11414798461	3.0
405	11414998716	7.0
406	11415198954	4.0
407	11415398791	6.0
408	11415601546	0.0
409	11415800113	9.0
410	11416000770	11.0
411	11416200466	5.0
412	11416401842	7.0
413	11416600621	4.0
414	11416800653	9.0
415	11417001237	1.0
416	11417201064	8.0
417	11417401238	2.0
418	11417602570	7.0
419	11417801333	4.0
420	11418002904	9.0
421	11418200904	1.0
422	11420385511	6.0
423	11421814134	888.0
424	11422837471	777.0
425	11423040843	9.0
426	11423241215	0.0
427	11423439923	8.0
428	11423640005	1.0
429	11423840114	11.0
430	11424040139	2.0
431	11424240348	8.0
432	11424440406	5.0
433	11424639040	7.0
434	11424840725	4.0
435	11425040816	11.0
436	11425239353	3.0
437	11425441398	6.0
438	11425639531	7.0
439	11425839514	2.0
440	11426041559	9.0
441	11426241724	0.0
442	11426439843	11.0
443	11426640087	4.0
444	11426842495	6.0
445	11427040992	1.0
446	11427241235	12.0
447	11427441359	2.0
448	11427641381	6.0
449	11427841553	3.0
450	11428041993	10.0
451	11428241812	12.0
452	11428441991	0.0
453	11428642062	6.0
454	11428842161	5.0
455	11429042340	11.0
456	11429243006	2.0
457	11429442946	12.0
458	11429644977	5.0
459	11429843060	7.0
460	11430044067	1.0
461	11430244064	8.0
462	11430444153	4.0
463	11430643387	9.0
464	11430844340	11.0
465	11431044555	1.0
466	11431244632	10.0
467	11431444872	2.0
468	11431644845	9.0
469	11431845037	4.0
470	11432043267	10.0
471	11432245285	1.0
472	11432445438	11.0
473	11432645524	5.0
474	11432845587	6.0
475	11433045711	4.0
476	11433245950	8.0
477	11433446021	11.0
478	11433646129	3.0
479	11433846271	6.0
480	11434048429	5.0
481	11434246873	7.0
482	11434447030	0.0
483	11434647515	12.0
484	11434847872	5.0
485	11435049322	10.0
486	11435247373	0.0
487	11435447437	9.0
488	11435647839	1.0
489	11435849883	7.0
490	11436048921	9.0
491	11436248673	3.0
492	11436448842	12.0
493	11436647070	2.0
494	11436849261	7.0
495	11437049174	3.0
496	11437247455	12.0
497	11437449599	0.0
498	11437649628	7.0
499	11437849827	3.0
500	11438050489	10.0
501	11438249082	4.0
502	11438449134	9.0
503	11438651568	7.0
504	11438851458	5.0
505	11439051600	12.0
506	11439251043	0.0
507	11439451074	10.0
508	11439651124	4.0
509	11439851239	8.0
510	11440051391	2.0
511	11440251490	11.0
512	11440450262	1.0
513	11440650706	9.0
514	11440850630	0.0
515	11441050911	8.0
516	11441250896	10.0
517	11441452233	3.0
518	11441652332	8.0
519	11441851160	4.0
520	11442053369	12.0
521	11442251552	3.0
522	11442451539	6.0
523	11442652705	1.0
524	11442852791	8.0
525	11443052893	5.0
526	11443253074	6.0
527	11443453374	2.0
